Rank,Name,Industry,Revenue,Profit,Employees,Headquarters
21.0,Trafigura,Commodities,244280.0,7393.0,12479,Singapore
22.0,Costco,Retail,242290.0,6292.0,316000,United States
23.0,JPMorgan Chase,Financials,239425.0,49552.0,309926,United States
24.0,Industrial and Commercial Bank of China,Financials,222484.0,51417.0,419252,China
25.0,TotalEnergies,Oil and gas,218945.0,21384.0,102579,France
26.0,Glencore,Commodities,217829.0,4280.0,83426,Switzerland
27.0,BP,Oil and gas,213032.0,15239.0,79400,United Kingdom
28.0,Cardinal Health,Healthcare,205012.0,261.0,47520,United States
29.0,Stellantis,Automotive,204908.0,20103.0,258275,Netherlands
30.0,Chevron,Oil and gas,200949.0,21369.0,45600,United States
31.0,China Construction Bank,Financials,199826.0,46990.0,376871,China
32.0,Samsung Electronics,Electronics,198257.0,11082.0,267860,South Korea
33.0,Foxconn,Electronics,197876.0,4563.0,621393,Taiwan
34.0,Cigna,Healthcare,195265.0,5164.0,71413,United States
35.0,Agricultural Bank of China,Financials,192398.0,38049.0,451003,China
36.0,Schwarz Gruppe,Retail,180576.0,16988.0,575000,Germany
37.0,China Railway Engineering Corporation,Construction,178563.0,2152.0,314149,China
38.0,Cargill,Conglomerate,177000.0,17641.0,160000,United States
39.0,Ford Motor Company,Automotive,176191.0,4347.0,177000,United States
40.0,Bank of China,Financials,172328.0,32758.0,306931,China
